event,begin,end
Champions_League,2016-12-06 20:45:00,2016-12-06 22:30:00
Champions_League,2016-12-06 20:45:00,2016-12-06 22:30:00
Champions_League,2016-12-06 20:45:00,2016-12-06 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2016-12-07 20:45:00,2016-12-07 22:30:00
Champions_League,2017-02-14 20:45:00,2017-02-14 22:30:00
Champions_League,2017-02-14 20:45:00,2017-02-14 22:30:00
Champions_League,2017-02-15 20:45:00,2017-02-15 22:30:00
Champions_League,2017-02-15 20:45:00,2017-02-15 22:30:00
Champions_League,2017-02-21 20:45:00,2017-02-21 22:30:00
Champions_League,2017-02-21 20:45:00,2017-02-21 22:30:00
Champions_League,2017-02-22 20:45:00,2017-02-22 22:30:00
Champions_League,2017-02-22 20:45:00,2017-02-22 22:30:00
Champions_League,2017-03-07 20:45:00,2017-03-07 22:30:00
Champions_League,2017-03-07 20:45:00,2017-03-07 22:30:00
Champions_League,2017-03-08 20:45:00,2017-03-08 22:30:00
Champions_League,2017-03-08 20:45:00,2017-03-08 22:30:00
Champions_League,2017-03-14 20:45:00,2017-03-14 22:30:00
Champions_League,2017-03-14 20:45:00,2017-03-14 22:30:00
Champions_League,2017-03-15 20:45:00,2017-03-15 22:30:00
Champions_League,2017-03-15 20:45:00,2017-03-15 22:30:00
Champions_League,2017-04-11 20:45:00,2017-04-11 22:30:00
Champions_League,2017-04-12 18:45:00,2017-04-12 20:30:00
Champions_League,2017-04-12 20:45:00,2017-04-12 22:30:00
Champions_League,2017-04-12 20:45:00,2017-04-12 22:30:00
Champions_League,2017-04-18 20:45:00,2017-04-18 22:30:00
Champions_League,2017-04-18 20:45:00,2017-04-18 22:30:00
Champions_League,2017-04-19 20:45:00,2017-04-19 22:30:00
Champions_League,2017-04-19 20:45:00,2017-04-19 22:30:00
Champions_League,2017-05-02 20:45:00,2017-05-02 22:30:00
Champions_League,2017-05-03 20:45:00,2017-05-03 22:30:00
Champions_League,2017-05-09 20:45:00,2017-05-09 22:30:00
Champions_League,2017-05-10 20:45:00,2017-05-10 22:30:00
Champions_League,2017-06-03 20:45:00,2017-06-03 22:30:00
Champions_League,2017-06-27 18:00:00,2017-06-27 19:45:00
Champions_League,2017-06-27 20:00:00,2017-06-27 21:45:00
Champions_League,2017-06-27 20:00:00,2017-06-27 21:45:00
Champions_League,2017-06-27 20:00:00,2017-06-27 21:45:00
